car_full_nm,horsepower_bhp,rpm_horsepower_measure_point,torque_lb_ft,rpm_torque_measure_point,car_0_60_time_seconds,engine_size_cc,engine_size_cat,engine_size_ci,top_speed_mph,top_speed_kph,horsepower_per_ton_bhp,year,decade,make_nm,car_weight_tons,torque_per_ton
Honda NSX R 3.2 V6 - [2002],290,7300,224,5300,4.6,3179,3,193.9,165,265,228.3,2002,2000s,Honda,1.270258432,176.342069
Honda NSX T 3.2 V6 - [1997],290,7100,224,5500,NA,3179,3,193.9,168,270,206.8,1997,1990s,Honda,1.402321083,159.7351724
Honda NSX 3.2 V6 - [1998],279,7300,224,5300,NA,3179,3,193.9,170,273,197.8,1998,1990s,Honda,1.410515672,158.8071685
Porsche Boxster 3.2 S 260 - [1999],260,6200,228,4700,NA,3179,3,193.9,164,263,196.9,1999,1990s,Porsche,1.320467242,172.6661538
Alfa-Romeo 147 GTA - [2002],246,6200,221,4800,NA,3179,3,193.9,146,234,180.8,2002,2000s,Alfa-Romeo,1.360619469,162.4260163
Alfa-Romeo 156 GTA 3.2 V6 Sportwagon - [2002],246,4600,221,4800,NA,3179,3,193.9,155,249,168.4,2002,2000s,Alfa-Romeo,1.460807601,151.2861789
Alfa-Romeo 166 3.2 V6 04-05 - [1999],240,6200,213,4800,NA,3179,3,193.9,152,244,155.8,1999,1990s,Alfa-Romeo,1.540436457,138.2725
Alfa-Romeo GT 3.2 V6 Lusso - [2004],240,6200,221,4800,NA,3179,3,193.9,149,239,170.2,2004,2000s,Alfa-Romeo,1.410105758,156.7258333
Alfa-Romeo GTV 3.2 V6 Lusso - [1996],240,6200,221,4800,NA,3179,3,193.9,158,254,175.1,1996,1990s,Alfa-Romeo,1.370645346,161.2379167
Alfa-Romeo GTV 3.2 V6 24v - [2003],237,6200,213,4800,NA,3179,3,193.9,158,254,164,2003,2000s,Alfa-Romeo,1.445121951,147.3924051
Lancia Thesis 3.2 V6 24v Comfortronic - [2003],226,6200,213,4800,NA,3179,3,193.9,149,239,124.1,2003,2000s,Lancia,1.821112006,116.9615044
Alfa-Romeo 156 GTA 3.2 V6 - [2002],221,4800,221,4800,NA,3179,3,193.9,155,249,156.7,2002,2000s,Alfa-Romeo,1.410338226,156.7
Ferrari Mondial 3.2l V8 - [1986],270,7000,224,5500,NA,3186,3,194.4,155,249,191.4,1986,1980s,Ferrari,1.410658307,158.7911111
Ferrari 328 GTB 3.2 V8 - [1986],270,7000,224,5500,NA,3186,3,194.4,163,262,213.7,1986,1980s,Ferrari,1.263453439,177.2918519
Ferrari 328 GTS 3.2 V8 - [1986],270,7000,224,5500,NA,3186,3,194.4,163,262,212,1986,1980s,Ferrari,1.273584906,175.8814815
Volkswagen(VW) Golf R32 - [2005],247,6300,236,2500,NA,3189,3,194.6,155,249,160.2,2005,2000s,Volkswagen(VW),1.541822722,153.065587
Audi TT 3.2 V6 Quattro S-Line - [2009],246,6300,236,3000,NA,3189,3,194.6,155,249,172,2009,2000s,Audi,1.430232558,165.0081301
Audi TT 3.2 V6 Quattro - [2004],246,6300,236,6300,NA,3189,3,194.6,155,249,161.8,2004,2000s,Audi,1.52039555,155.2227642
Volkswagen(VW) Golf R32 - [2002],237,6250,236,2800,NA,3189,3,194.6,153,246,152.7,2002,2000s,Volkswagen(VW),1.552062868,152.0556962
Volkswagen(VW) Beetle RSi 3.2 V6 - [2000],221,6200,236,3000,NA,3189,3,194.6,140,225,145.8,2000,2000s,Volkswagen(VW),1.515775034,155.6959276
Alfa-Romeo Brera 3.2 V6 Qtronic - [2006],256,6200,237,4500,NA,3195,3,194.9,149,239,155.1,2006,2000s,Alfa-Romeo,1.650548034,143.5886719
Alfa-Romeo Spider 3.2 V6 Q4 - [2007],256,6200,237,4500,NA,3195,3,194.9,152,244,151.4,2007,2000s,Alfa-Romeo,1.690885073,140.1632813
Alfa-Romeo 159 3.2 V6 Q4 - [2005],256,6200,237,4500,NA,3195,3,194.9,149,239,147.1,2005,2000s,Alfa-Romeo,1.740312712,136.1824219
Alfa-Romeo Brera JTS 3.2 V6 24v - [2010],256,6200,237,4500,NA,3195,3,194.9,155,249,158.5,2010,2010s,Alfa-Romeo,1.615141956,146.7363281
Mercedes C Class 32 AMG - [2001],354,6100,332,4400,NA,3199,3,195.2,155,249,216.5,2001,2000s,Mercedes,1.635103926,203.0451977
Chrysler Crossfire 3.2 V6 SRT-6 2d Auto - [2004],330,6100,310,4800,NA,3199,3,195.2,155,249,218.6,2004,2000s,Chrysler,1.509606587,205.3515152
Chrysler Crossfire 3.2 V6 2d - [2003],215,5700,229,3000,NA,3199,3,195.2,145,233,154.8,2003,2000s,Chrysler,1.388888889,164.88
BMW Z3 M Coupe 3.2 2d - [1998],321,0,258,0,NA,3201,3,195.3,155,249,221.3,1998,1990s,BMW,1.450519657,177.8672897
BMW 3 Series M3 Evolution E36 - [1996],321,7400,258,3250,NA,3201,3,195.3,155,249,218.2,1996,1990s,BMW,1.471127406,175.3757009
Maserati 3200 GT FH 3.2 Turbo - [1998],375,6250,362,4500,NA,3217,3,196.3,174,280,236.2,1998,1990s,Maserati,1.587637595,228.0117333
Maserati Shamal 3.2L V8 BiTurbo - [1992],326,6000,320,2800,NA,3217,3,196.3,168,270,230,1992,1990s,Maserati,1.417391304,225.7668712
Fiat 130 3.2 V6 Coupe - [1971],167,5600,184,3400,NA,3235,3,197.4,123,197,107.1,1971,1970s,Fiat,1.559290383,118.0023952
Aston-Martin DB7 3.2 V6 - [1993],335,5500,360,3000,NA,3239,3,197.6,157,252,191.4,1993,1990s,Aston-Martin,1.750261233,205.6835821
BMW 3 Series M3 CSL 2d SMG E46 - [2003],360,7900,274,4900,NA,3246,3,198,155,249,259.9,2003,2000s,BMW,1.385148134,197.8127778
BMW 3 Series M3 SMG 2d E46 - [2001],343,7900,269,4900,NA,3246,3,198,160,257,217.5,2001,2000s,BMW,1.577011494,170.5758017
BMW Z4 3.2 M Coupe 2d - [2006],338,7900,269,4900,NA,3246,3,198,155,249,226,2006,2000s,BMW,1.495575221,179.8639053
BMW Z4 3.2 M Roadster 2d - [2006],338,7900,269,4900,NA,3246,3,198,155,249,227.6,2006,2000s,BMW,1.485061511,181.1372781
BMW Z3 Roadster - [2001],321,7400,258,4900,NA,3246,3,198,155,249,221.3,2001,2000s,BMW,1.450519657,177.8672897
Ferrari 275 GTB 3.3 V12 - [1963],276,7600,217,5000,NA,3286,3,200.5,153,246,251.3,1963,1960s,Ferrari,1.098288898,197.5800725
Ferrari 275 GTS 3.3 V12 - [1965],256,7000,217,5000,NA,3286,3,200.5,150,241,222.2,1965,1960s,Ferrari,1.152115212,188.3492188
Porsche 911 Turbo SE 930 - [1986],325,5750,344,4500,NA,3299,3,201.3,171,275,243.4,1986,1980s,Porsche,1.335250616,257.6295385
Porsche 911 Turbo - [1977],296,5500,304,4000,NA,3299,3,201.3,162,260,227.6,1977,1970s,Porsche,1.300527241,233.7513514
BMW Alpina Z4 Roadster S - [2004],300,6300,267,4800,NA,3346,3,204.1,165,265,62.5,2004,2000s,BMW,4.8,55.625
Porsche 911 Ruf CTR Yellow Bird - [1987],469,5950,408,5100,4.1,3366,3,205.4,211,339,340.1,1987,1980s,Porsche,1.379006175,295.8652452
Porsche 911 Carrera 996 - [1997],296,6800,258,4600,4.6,3387,3,206.6,173,278,224.2,1997,1990s,Porsche,1.320249777,195.4175676
Porsche 911 Carrera 4 996 - [1998],296,6800,258,4600,NA,3387,3,206.6,171,275,208.4,1998,1990s,Porsche,1.420345489,181.6459459
Porsche Cayman S 3.4 Turbo - [2005],291,6250,251,4200,NA,3387,3,206.6,171,275,205.6,2005,2000s,Porsche,1.41536965,177.3388316
Ferrari Mondial t - [1990],299,7200,238,4200,NA,3405,3,207.7,153,246,198.9,1990,1990s,Ferrari,1.503267974,158.3217391
Ferrari 348 tb - [1989],295,7200,238,4200,NA,3405,3,207.7,171,275,212.2,1989,1980s,Ferrari,1.390197926,171.1986441
Porsche 911 Carrera 4 991 - [2012],345,7400,288,5600,NA,3436,3,209.6,177,284,241.2,2012,2010s,Porsche,1.430348259,201.3495652
Porsche 911 Targa 4 991 - [2014],345,7400,288,5600,NA,3436,3,209.6,175,281,224,2014,2010s,Porsche,1.540178571,186.9913043
Porsche Boxster GTS - [2014],335,7400,280,4750,4.7,3436,3,209.6,175,281,249,2014,2010s,Porsche,1.345381526,208.119403
Porsche Boxster GTS PDK - [2014],335,7400,280,4750,4.6,3436,3,209.6,173,278,243.6,2014,2010s,Porsche,1.375205255,203.6059701
Porsche Cayman GTS 3.4L - [2014],335,7400,280,4750,4.6,3436,3,209.6,177,284,249,2014,2010s,Porsche,1.345381526,208.119403
Porsche Cayman GTS PDK 3.4L - [2014],335,7400,280,4750,4.5,3436,3,209.6,176,283,243.6,2014,2010s,Porsche,1.375205255,203.6059701
Porsche Cayman S 3.4l - [2012],320,7400,273,4500,NA,3436,3,209.6,176,283,242.4,2012,2010s,Porsche,1.320132013,206.7975
Porsche Cayman S 3.4 - [2009],315,7200,273,4750,NA,3436,3,209.6,172,276,233.3,2009,2000s,Porsche,1.350192885,202.1933333
Porsche Boxster S 3.4L - [2012],311,6700,266,4500,NA,3436,3,209.6,173,278,235.6,2012,2010s,Porsche,1.320033956,201.5099678
Porsche Boxster S PDK - [2012],311,6700,266,4500,NA,3436,3,209.6,172,276,230.3,2012,2010s,Porsche,1.350412505,196.9768489
Jaguar D Type 3.4L - [1954],250,6000,242,4000,4.7,3442,3,210,162,260,289.3,1954,1950s,Jaguar,0.864154857,280.0424
Jaguar XK 150 SE Fixed Head Coupe - [1957],210,5500,215,3000,NA,3442,3,210,124,199,143.7,1957,1950s,Jaguar,1.461377871,147.1214286
Jaguar XK 140 SE - [1954],210,5750,213,4000,NA,3442,3,210,129,207,147.6,1954,1950s,Jaguar,1.422764228,149.7085714
Jaguar C Type 3.4L - [1951],200,5800,220,3900,NA,3442,3,210,144,231,207.2,1951,1950s,Jaguar,0.965250965,227.92
Jaguar XK 140 Roadster - [1955],190,5500,210,2500,NA,3442,3,210,130,209,133.6,1955,1950s,Jaguar,1.422155689,147.6631579
Jaguar XK 120 DHC - [1953],190,5500,210,2500,NA,3442,3,210,120,193,136,1953,1950s,Jaguar,1.397058824,150.3157895
Jaguar Mark VII M 3.4L - [1955],190,5500,203,3000,NA,3442,3,210,104,167,107.4,1955,1950s,Jaguar,1.769087523,114.7484211
Jaguar XK 120 SE FHC - [1948],180,5300,203,4000,NA,3442,3,210,121,194,131.1,1948,1940s,Jaguar,1.372997712,147.8516667
Jaguar XK 120 Roadster - [1948],160,5000,195,2500,NA,3442,3,210,125,201,123.5,1948,1940s,Jaguar,1.295546559,150.515625
Jaguar Mark VII 3.4L - [1950],160,5200,195,2500,NA,3442,3,210,101,162,95.4,1950,1950s,Jaguar,1.677148847,116.26875
Jaguar Mark VII 3.4L 12v - [1954],160,5200,195,2500,NA,3442,3,210,102,164,91.2,1954,1950s,Jaguar,1.754385965,111.15
BMW 5 Series M5 E28 - [1985],286,6500,250,4500,NA,3453,3,210.7,151,243,199.8,1985,1980s,BMW,1.431431431,174.6503497
BMW 6 Series M635 CSi E24 - [1984],282,6500,246,4500,NA,3453,3,210.7,158,254,187.3,1984,1980s,BMW,1.50560598,163.3893617
BMW 5 Series M535i E12 - [1980],215,5200,224,4000,NA,3453,3,210.7,142,228,154.5,1980,1980s,BMW,1.391585761,160.9674419
Lotus Evora GTE 3.5 V6 - [2012],470,7500,369,4500,3.8,3456,3,210.8,170,273,368.3,2012,2010s,Lotus,1.276133587,289.1546809
Lotus Exige S 3.5 V6 Roadster - [2012],345,7000,295,4500,3.9,3456,3,210.8,145,233,313.6,2012,2010s,Lotus,1.100127551,268.1507246
Lotus Exige S 3.5 V6 - [2012],345,7000,295,4500,3.9,3456,3,210.8,170,273,319.4,2012,2010s,Lotus,1.080150282,273.1101449
Lotus Evora S IPS 3.5 V8 - [2011],345,7000,295,4500,4.6,3456,3,210.8,172,276,239.2,2011,2010s,Lotus,1.442307692,204.5333333
Toyota Aurion TRD 3.5 V6 - [2007],323,6400,295,4000,NA,3456,3,210.8,155,249,198.1,2007,2000s,Toyota,1.630489652,180.9272446
Lexus IS 350 3.5 V6 - [2006],306,6400,277,4800,NA,3456,3,210.8,142,228,186.2,2006,2000s,Lexus,1.6433942,168.5535948
Lexus IS 350 - [2013],306,6400,277,4800,NA,3456,3,210.8,142,228,186.5,2013,2010s,Lexus,1.64075067,168.8251634
Lexus GS 350 - [2011],306,6400,277,4800,NA,3456,3,210.8,142,228,177.8,2011,2010s,Lexus,1.721034871,160.9496732
Lexus GS 350 - [2008],303,6200,274,3600,NA,3456,3,210.8,143,230,176,2008,2000s,Lexus,1.721590909,159.1551155
Lotus Evora 3.5 V6 - [2009],276,6400,252,4700,NA,3456,3,210.8,160,257,204.4,2009,2000s,Lotus,1.350293542,186.626087
Lexus ES 350 - [2012],268,6200,248,4700,NA,3456,3,210.8,130,209,166.4,2012,2010s,Lexus,1.610576923,153.9820896
Lamborghini 350 GT 3.5L V12 - [1964],280,6500,241,4500,NA,3464,3,211.3,156,251,215.8,1964,1960s,Lamborghini,1.297497683,185.7421429
Honda Accord Coupe EX-L - [2008],268,6200,248,5000,NA,3471,3,211.8,155,249,173.4,2008,2000s,Honda,1.5455594,160.4597015
Jaguar Mark V 3.5L - [1949],120,4500,180,2300,NA,3486,3,212.7,91,146,67.9,1949,1940s,Jaguar,1.76730486,101.85
Caparo T1 3.5l V8 - [2007],575,10500,310,9000,2.5,3494,3,213.2,204,328,1045.4,2007,2000s,Caparo,0.550028697,563.6069565
Nissan R390 3.5L V8 - [1997],550,6800,470,4400,3.8,3495,3,213.2,196,315,500.9,1997,1990s,Nissan,1.098023558,428.0418182
Ferrari 355 F1 Berlinetta - [1997],375,8250,268,6000,4.7,3496,3,213.3,183,294,281.5,1997,1990s,Ferrari,1.332149201,201.1786667
Ford Taurus SHO 3.5 V6 - [2009],365,5500,350,3500,NA,3496,3,213.3,155,249,184.2,2009,2000s,Ford,1.981541802,176.630137
Ford Taurus SHO 3.5 V6 Performance Pack - [2013],365,5500,350,1500,NA,3496,3,213.3,155,249,182.9,2013,2010s,Ford,1.995626025,175.3835616
Ford Taurus AWD 3.5 V6 - [2007],260,6250,245,4500,NA,3496,3,213.3,115,185,150.2,2007,2000s,Ford,1.7310253,141.5346154
Bugatti EB110 SuperSport - [1992],592,8250,470,4000,3.4,3498,3,213.4,217,349,417.4,1992,1990s,Bugatti,1.418303785,331.3817568
Jaguar XJ 220 - [1991],507,7200,472,4500,3.6,3498,3,213.4,220,354,325,1991,1990s,Jaguar,1.56,302.5641026
Mercedes SLK Class 350 Auto - [2008],301,6500,266,4900,NA,3498,3,213.4,155,249,202.6,2008,2000s,Mercedes,1.485686081,179.0418605
Nissan 350Z Roadster 300bhp - [2006],295,6800,268,4800,NA,3498,3,213.4,155,249,180.8,2006,2000s,Nissan,1.631637168,164.2522034
Nissan 350Z 300 GT Coupe - [2003],295,6800,268,4800,NA,3498,3,213.4,155,249,193.4,2003,2000s,Nissan,1.525336091,175.6989831
Infiniti G35 Sport Coupe - [2002],283,6200,270,4800,NA,3498,3,213.4,155,249,172.2,2002,2000s,Infiniti,1.643437863,164.2897527
Infiniti G35 3.5 V6 X - [2006],280,6200,270,4800,NA,3498,3,213.4,155,249,166,2006,2000s,Infiniti,1.686746988,160.0714286
Nissan 350Z Coupe - [2003],276,6200,268,4800,NA,3498,3,213.4,155,249,180.9,2003,2000s,Nissan,1.525704809,175.6565217
Nissan Altima Coupe 3.5 SE - [2008],270,6000,258,4400,NA,3498,3,213.4,155,249,182.5,2008,2000s,Nissan,1.479452055,174.3888889
Mercedes SLC 350 C107 - [1971],200,5800,211,4000,NA,3499,3,213.5,127,204,125.3,1971,1970s,Mercedes,1.596169194,132.1915
Mercedes 300 SEL 3.5 - [1969],197,5800,211,4000,NA,3499,3,213.5,130,209,120.8,1969,1960s,Mercedes,1.630794702,129.3847716
BMW M1 3.5 2d Manual - [1978],277,6500,239,5000,NA,3500,3,213.5,161,259,212.5,1978,1970s,BMW,1.303529412,183.3483755
Lotus Esprit S4 3.5 V8 Turbo - [1996],350,6500,295,4250,4.6,3506,3,213.9,172,276,253.9,1996,1990s,Lotus,1.378495471,214.0014286
AC Cobra 212 S/C - [2001],350,6500,295,4000,4,3506,3,213.9,155,249,388.8,2001,2000s,AC,0.900205761,327.7028571
Rover P5 B 3.5 V8 - [1967],184,5200,226,3000,NA,3528,3,215.2,115,185,115.9,1967,1960s,Rover,1.587575496,142.3554348
Rover P5 B 3.5 V8 Coupe - [1967],184,5200,226,3000,NA,3528,3,215.2,115,185,115.9,1967,1960s,Rover,1.587575496,142.3554348
Rover SD1 Vitesse 3.5L V8 - [1984],187,5280,220,4000,NA,3532,3,215.5,135,217,129.8,1984,1980s,Rover,1.440677966,152.7058824
Triumph TR8 3.5 V8 - [1978],148,5000,164,3500,NA,3532,3,215.5,135,217,123,1978,1970s,Triumph,1.203252033,136.2972973
MG B GT V8 - [1973],137,5000,193,2900,NA,3532,3,215.5,125,201,126.3,1973,1970s,MG,1.084718923,177.9262774
Cadillac CTS 3.6 V6 Sport 4d Auto - [2008],304,6300,273,5200,NA,3564,3,217.4,155,249,166.2,2008,2000s,Cadillac,1.82912154,149.2519737
Ferrari 360 Challenge Stradale - [2003],425,8500,275,4750,4,3586,3,218.8,186,299,332,2003,2000s,Ferrari,1.280120482,214.8235294
Ferrari 360 Modena F1 - [1999],400,8500,275,4750,4.3,3586,3,218.8,183,294,287.7,1999,1990s,Ferrari,1.390337157,197.79375
Jaguar XJ S 3.6 Coupe - [1983],225,5300,240,4000,NA,3590,3,219,142,228,135.5,1983,1980s,Jaguar,1.660516605,144.5333333
Porsche 911 Carrera 4 996 - [2002],316,6800,273,4250,NA,3596,3,219.4,174,280,224.9,2002,2000s,Porsche,1.40506892,194.296519
Volkswagen(VW) Passat R36 3.6 V6 - [2008],295,6600,258,2400,NA,3598,3,219.5,155,249,174.6,2008,2000s,Volkswagen(VW),1.689576174,152.7010169
Porsche 911 GT2 RS 997 - [2010],611,6500,516,2500,3.5,3600,3,219.6,205,329,445.9,2010,2010s,Porsche,1.370262391,376.5702128
Porsche 911 GT2 997 - [2007],530,6500,502,2200,3.4,3600,3,219.6,204,328,356.6,2007,2000s,Porsche,1.486259114,337.7607547
Porsche 911 GT2 996 - [2004],475,5700,457,3500,4,3600,3,219.6,198,318,334.5,2004,2000s,Porsche,1.420029895,321.8242105
Porsche 911 Turbo 997 - [2006],472,6000,457,1950,4,3600,3,219.6,193,310,297.7,2006,2000s,Porsche,1.585488747,288.2391949
Porsche 911 GT2 996 - [2000],459,5700,457,3500,3.6,3600,3,219.6,196,315,318.7,2000,2000s,Porsche,1.440225918,317.311329
Porsche 911 Turbo S 993 - [1998],444,6000,431,4500,3.9,3600,3,219.6,184,296,296,1998,1990s,Porsche,1.5,287.3333333
Porsche 911 Turbo S 996 - [2004],444,6000,457,2700,4.1,3600,3,219.6,191,307,266.6,2004,2000s,Porsche,1.665416354,274.4058559
Porsche 911 GT2 993 - [1995],430,5750,398,4500,3.6,3600,3,219.6,183,294,353.9,1995,1990s,Porsche,1.215032495,327.5632558
Porsche 911 Turbo 996 - [2000],420,6000,413,2700,3.9,3600,3,219.6,190,305,271.1,2000,2000s,Porsche,1.549243821,266.5816667
Porsche 911 GT3 997 - [2007],414,7600,299,5500,4.3,3600,3,219.6,181,291,296.7,2007,2000s,Porsche,1.395348837,214.2833333
Porsche 911 GT3 RS 997 - [2006],409,7600,298,5500,4.2,3600,3,219.6,193,310,297.4,2006,2000s,Porsche,1.375252186,216.6875306
Porsche 911 Turbo 993 - [1995],408,5750,398,4500,3.9,3600,3,219.6,180,289,271.6,1995,1990s,Porsche,1.502209131,264.9431373
Porsche 911 GT3 996 - [2003],381,7400,284,5000,4.5,3600,3,219.6,190,305,276,2003,2000s,Porsche,1.380434783,205.7322835
Porsche 911 GT3 RS 996 - [2003],375,7400,284,5000,4.4,3600,3,219.6,190,305,277.7,2003,2000s,Porsche,1.350378106,210.3114667
TVR Tamora 3.6 - [2002],350,7200,290,5500,4.2,3600,3,219.6,175,281,330.1,2002,2000s,TVR,1.060284762,273.5114286
Porsche 911 Carrera 2 - [1998],246,6100,229,4800,NA,3600,3,219.6,168,270,182.2,1998,1990s,Porsche,1.350164654,169.6089431
Porsche Macan 3.6 Turbo - [2013],395,6000,406,1350,4.7,3605,3,219.9,165,265,205.1,2013,2010s,Porsche,1.92588981,210.8116456
TVR T350 C 3.6 - [2003],350,7200,290,5500,NA,3605,3,219.9,175,281,318.1,2003,2000s,TVR,1.10028293,263.5685714
TVR T350 T 3.6 - [2004],318,3500,290,7200,4.4,3605,3,219.9,175,281,289,2004,2000s,TVR,1.100346021,263.5534591
Porsche Panamera 3.6 V6 - [2013],306,6200,295,3750,NA,3605,3,219.9,161,259,172.8,2013,2010s,Porsche,1.770833333,166.5882353
Dodge Charger SXT Blacktop 3.6L V6 - [2012],300,6350,264,4800,NA,3605,3,219.9,184,296,165.4,2012,2010s,Dodge,1.813784764,145.552
Mercedes C Class 36 AMG - [1993],276,5750,284,4000,NA,3606,3,220,155,249,176.9,1993,1990s,Mercedes,1.560203505,182.0275362
Lotus Carlton 3.6 Turbo - [1990],377,5200,419,568,NA,3615,3,220.6,175,281,226.6,1990,1990s,Lotus,1.663724625,251.8445623
Land-Rover Range Rover Sport 3.6 TDV8 - [2006],268,4000,472,2000,NA,3630,3,221.5,130,209,100.1,2006,2000s,Land-Rover,2.677322677,176.2955224
Aston-Martin DB4 GT Zagato - [1959],314,6000,278,5400,NA,3670,3,223.9,153,246,250.9,1959,1950s,Aston-Martin,1.251494619,222.1343949
Aston-Martin DB4 GT - [1959],302,6000,270,5000,NA,3670,3,223.9,152,244,237.9,1959,1950s,Aston-Martin,1.269440942,212.692053
Aston-Martin DB4 1958 - [1958],240,5500,240,4250,NA,3670,3,223.9,141,226,183.4,1958,1950s,Aston-Martin,1.308615049,183.4
Nissan 370Z Nismo - [2009],350,7400,276,5200,4.5,3696,3,225.5,155,249,233.8,2009,2000s,Nissan,1.497005988,184.368
Nissan 370Z 3.7 V6 Roadster - [2009],332,7000,270,5200,NA,3696,3,225.5,155,249,213.6,2009,2000s,Nissan,1.554307116,173.7108434
Infiniti G37 3.7 V6 S - [2009],330,7000,270,5200,NA,3696,3,225.5,155,249,198.4,2009,2000s,Infiniti,1.663306452,162.3272727
Infiniti FX 37 3.7 V6 - [2011],315,7000,266,5200,NA,3696,3,225.5,145,233,156.5,2011,2010s,Infiniti,2.012779553,132.1555556
Ginetta G60 3.7 V6 - [2011],310,6800,288,4500,NA,3726,3,227.3,165,265,287,2011,2010s,Ginetta,1.080139373,266.6322581
Bentley Continental R 6.8 V8 Turbo - [1991],315,4500,485,2250,NA,3750,3,228.8,145,233,130,1991,1990s,Bentley,2.423076923,200.1587302
Pontiac Firebird Sprint 3.8L - [1967],215,5200,240,3800,NA,3770,3,230,114,183,144.4,1967,1960s,Pontiac,1.488919668,161.1906977
Pontiac Tempest Le Mans Sprint - [1966],207,5200,228,3800,NA,3770,3,230,113,181,133.4,1966,1960s,Pontiac,1.551724138,146.9333333
Jaguar E Type 3.8L Roadster - [1961],265,5500,260,4000,NA,3781,3,230.7,149,239,217.2,1961,1960s,Jaguar,1.220073665,213.1018868
Jaguar E Type 3.8l Coupe - [1961],265,5500,260,4000,NA,3781,3,230.7,150,241,214.7,1961,1960s,Jaguar,1.234280391,210.6490566
Buick Regal GNX 3.8 V6 Turbo - [1987],276,4400,360,3000,NA,3791,3,231.3,124,199,175.1,1987,1980s,Buick,1.576242147,228.3913043
BMW 5 Series M5 E34 - [1992],335,6900,295,4750,NA,3795,3,231.5,155,249,194.2,1992,1990s,BMW,1.725025747,171.0119403
Ford Thunderbird 3.8 V6 Supercharged 10th Gen - [1989],210,4000,315,2600,NA,3797,3,231.7,142,228,125,1989,1980s,Ford,1.68,187.5
McLaren P1 3.8 V8 Hybrid - [2013],727,7500,531,4000,2.9,3799,3,231.8,217,349,521.1,2013,2010s,McLaren,1.395125696,380.6108666
McLaren 650S 3.8 V8 Twin Turbo - [2014],641,7250,500,6000,3,3799,3,231.8,207,333,481.9,2014,2010s,McLaren,1.330151484,375.8970359
McLaren 650S Spider 3.8 V8 Twin Turbo - [2014],641,7250,500,6000,3.1,3799,3,231.8,207,333,457.8,2014,2010s,McLaren,1.400174749,357.0982839
McLaren MP4-12C 3.8 V8 Twin Turbo Spider - [2012],616,7500,443,3000,3,3799,3,231.8,204,328,417.9,2012,2010s,McLaren,1.474036851,300.5352273
McLaren MP4-12C 3.8L V8 Twin Turbo - [2012],616,7500,443,3000,3,3799,3,231.8,207,333,429.5,2012,2010s,McLaren,1.434225844,308.8774351
McLaren MP4-12C 3.8L V8 Twin Turbo - [2011],592,7000,443,3000,3.3,3799,3,231.8,205,329,412.8,2011,2010s,McLaren,1.434108527,308.9027027
Nissan Skyline GTR R35 - [2012],542,6400,466,3200,2.9,3799,3,231.8,197,317,313.2,2012,2010s,Nissan,1.730523627,269.2826568
Maserati Quattroporte 3.8 V8 - [2012],523,6500,524,2250,4.5,3799,3,231.8,191,307,264.8,2012,2010s,Maserati,1.975075529,265.3063098
Nissan Skyline GT-R Spec V - [2009],478,6400,447,5000,3.4,3799,3,231.8,193,310,267,2009,2000s,Nissan,1.790262172,249.6841004
Porsche 911 Turbo S 991 - [2013],552,6500,553,2200,3.1,3800,3,231.8,198,318,328.5,2013,2010s,Porsche,1.680365297,329.0951087
Porsche 911 Turbo S 997 - [2010],523,6250,516,2100,3.1,3800,3,231.8,196,315,329.9,2010,2010s,Porsche,1.585328888,325.4845124
Porsche 911 Turbo 991 - [2013],513,6000,487,1950,3.4,3800,3,231.8,196,315,307.1,2013,2010s,Porsche,1.670465646,291.5354776
Porsche 911 Turbo 997 - [2009],493,6000,479,1950,3.6,3800,3,231.8,194,312,309,2009,2000s,Porsche,1.595469256,300.2251521
Nissan Skyline R35 GTR - [2007],473,6400,433,3200,3.5,3800,3,231.8,192,308,271.8,2007,2000s,Nissan,1.740250184,248.8147992
Porsche 911 GT3 3.8 991 - [2013],468,8250,325,6250,3.5,3800,3,231.8,196,315,327.2,2013,2010s,Porsche,1.430317848,227.2222222
Porsche 911 3.8 Speedster - [2010],402,7300,310,4200,4.4,3800,3,231.8,190,305,261,2010,2010s,Porsche,1.540229885,201.2686567
Porsche 911 50 Years 911 Edition - [2013],395,7400,325,5600,4.5,3800,3,231.8,186,299,280.1,2013,2010s,Porsche,1.410210639,230.4620253
Porsche 911 Carrera 4S 991 - [2012],395,7400,325,5600,4.4,3800,3,231.8,186,299,273.3,2012,2010s,Porsche,1.445298207,224.8670886
Porsche 911 Carrera 4S Cabriolet 991 - [2012],395,7400,325,5600,4.6,3800,3,231.8,184,296,260.7,2012,2010s,Porsche,1.515151515,214.5
Porsche 911 Carrera S 991 - [2011],395,7400,325,5600,4.4,3800,3,231.8,189,304,268.7,2011,2010s,Porsche,1.470040938,221.0822785
Porsche 911 Carrera S Cabriolet 991 - [2011],395,7400,325,5600,4.6,3800,3,231.8,187,300,269.6,2011,2010s,Porsche,1.465133531,221.8227848
Porsche 911 Carrera 4 S PDK 991 - [2012],395,7400,325,5600,4.2,3800,3,231.8,185,297,269.6,2012,2010s,Porsche,1.465133531,221.8227848
Porsche 911 Carrera S PDK 991 - [2011],395,7400,325,5600,4.2,3800,3,231.8,188,302,265.1,2011,2010s,Porsche,1.490003772,218.1202532
Porsche 911 Targa 4S 991 - [2014],395,7400,325,5600,NA,3800,3,231.8,184,296,254,2014,2010s,Porsche,1.55511811,208.9873418
