car_full_nm,horsepower_bhp,rpm_horsepower_measure_point,torque_lb_ft,rpm_torque_measure_point,car_0_60_time_seconds,engine_size_cc,engine_size_cat,engine_size_ci,top_speed_mph,top_speed_kph,horsepower_per_ton_bhp,year,decade,make_nm,car_weight_tons,torque_per_ton
MG F 1.8i VVC - [1995],143,7000,128,4500,NA,1796,1,109.5,126,202,133.6,1995,1990s,MG,1.070359281,119.586014
Lotus Elise Sport 135 - [2002],133,6200,129,4850,NA,1796,1,109.5,129,207,175.9,2002,2000s,Lotus,0.756111427,170.6097744
Ford Escort XR3i - [1992],129,6250,119,4500,NA,1796,1,109.5,126,202,118.3,1992,1990s,Ford,1.090448014,109.1294574
Vauxhall-Opel Corsa 1.8 GSi - [2004],123,6000,122,4600,NA,1796,1,109.5,126,202,125.5,2004,2000s,Vauxhall-Opel,0.980079681,124.4796748
Vauxhall-Opel Corsa 1.8 Sport SRi - [2001],123,6000,122,4600,NA,1796,1,109.5,126,202,113.3,2001,2000s,Vauxhall-Opel,1.085613416,112.3788618
Lotus Elise S1 - [1996],118,5500,122,3000,NA,1796,1,109.5,126,202,161.4,1996,1990s,Lotus,0.73110285,166.8711864
Vauxhall-Opel Kadett 1.8 GTE - [1983],115,5800,111,4800,NA,1796,1,109.5,116,186,114.4,1983,1980s,Vauxhall-Opel,1.005244755,110.4208696
Vauxhall-Opel Manta 1.8 GT - [1982],90,5400,105,3000,NA,1796,1,109.5,109,175,90,1982,1980s,Vauxhall-Opel,1,105
Peugeot 504 1.8 8v - [1968],82,5500,108,3000,NA,1796,1,109.5,100,160,68.3,1968,1960s,Peugeot,1.200585652,89.95609756
Honda Integra 1.8 Type R DC2 - [1996],187,8000,131,7300,NA,1797,1,109.6,145,233,169.8,1996,1990s,Honda,1.101295642,118.9508021
Honda Civic 1.8 VTi-S - [1997],169,7600,129,6300,NA,1797,1,109.6,139,223,133,1997,1990s,Honda,1.270676692,101.5207101
Seat Leon SC 1.8 FR Start-Stop DSG - [2013],177,5100,184,1250,NA,1798,1,109.7,139,223,135.4,2013,2010s,Seat,1.307237814,140.7548023
Audi A4 1.8T Sport - [2004],163,5700,177,4700,NA,1798,1,109.7,142,228,118.5,2004,2000s,Audi,1.375527426,128.6779141
Audi A4 1.8T Avant - [2008],158,6200,184,4500,NA,1798,1,109.7,140,225,107.4,2008,2000s,Audi,1.47113594,125.0734177
Toyota Yaris 1.8L TS - [2007],131,6000,128,4400,NA,1798,1,109.7,121,194,116.9,2007,2000s,Toyota,1.120615911,114.2229008
