car_full_nm,horsepower_bhp,rpm_horsepower_measure_point,torque_lb_ft,car_0_60_time_seconds,engine_size_cc,engine_size_cat,engine_size_ci,top_speed_mph,top_speed_kph,horsepower_per_ton_bhp,year,decade,make_nm,car_weight_tons,torque_per_ton
Ariel Atom V8 500 - [2008],475,10500,284,2.3,3000,2,366,202,325,255.3,2007,2000s,Bentley,2.350176263,235.3015
Honda NSX R 3.2 V6 - [2002],290,7300,224,4.6,3179,2,366,203,326,266.6,2008,2000s,Bentley,2.250562641,245.7163333
Porsche 911 Ruf CTR Yellow Bird - [1987],469,5950,408,4.1,3366,2,511.5,202,325,386.5,2007,2000s,Dodge,1.552393273,360.7333333
Porsche 911 Carrera 996 - [1997],296,6800,258,4.6,3387,2,280.2,211,339,365.8,2013,2010s,Porsche,1.640240569,238.3796667
Porsche Boxster GTS - [2014],335,7400,280,4.7,3436,2,274.4,210,337,462.7,2013,2010s,Ferrari,1.290252864,308.4666667
Porsche Boxster GTS PDK - [2014],335,7400,280,4.6,3436,2,444.9,214,344,482.9,2005,2000s,Pagani,1.230068337,467.4537037
Porsche Cayman GTS 3.4L - [2014],335,7400,280,4.6,3436,2,213.4,217,349,417.4,1992,1990s,Bugatti,1.418303785,331.3817568
Porsche Cayman GTS PDK 3.4L - [2014],335,7400,280,4.5,3436,2,231.8,205,329,412.8,2011,2010s,McLaren,1.434108527,308.9027027
Jaguar D Type 3.4L - [1954],250,6000,242,4.7,3442,2,378.8,199,320,359.8,2012,2010s,Mercedes,1.620344636,295.6161235
Lotus Evora GTE 3.5 V6 - [2012],470,7500,369,3.8,3456,2,378.8,199,320,336,2012,2010s,Mercedes,1.735119048,276.0617496
Lotus Exige S 3.5 V6 Roadster - [2012],345,7000,295,3.9,3456,2,365.6,210,337,417.2,2001,2000s,Lamborghini,1.395014382,338.3477663
Lotus Exige S 3.5 V6 - [2012],345,7000,295,3.9,3456,2,376,184,296,305.2,2011,2010s,Chevrolet,1.900393185,292.5710345
Lotus Evora S IPS 3.5 V8 - [2011],345,7000,295,4.6,3456,2,333.2,155,249,250.3,2014,2010s,Mercedes,2.30523372,288.040208
