car_full_nm,horsepower_bhp,rpm_horsepower_measure_point,torque_lb_ft,car_0_60_time_seconds,engine_size_cc,engine_size_cat,engine_size_ci,top_speed_mph,top_speed_kph,horsepower_per_ton_bhp,year,decade,make_nm,car_weight_tons,torque_per_ton
Ferrari FF 6.3L V12 - [2011],650,8000,504,3.5,6262,5,121.6,135,217,231.9,1997,1990s,Subaru,1.190168176,212.575
Audi A8 6.3 W12 L - [2012],500,6200,461,4.4,6299,5,121.6,135,217,231.9,1998,1990s,Subaru,1.190168176,218.4565217
SSC Ultimate Aero TT - [2008],1183,6950,1094,2.8,6348,5,121.6,135,217,231.9,1998,1990s,Subaru,1.190168176,218.4565217
Dodge Challenger SRT-8 6.4 V8 392 - [2010],470,6000,470,4.2,6410,5,121.6,135,217,231.9,1998,1990s,Subaru,1.190168176,218.4565217
Lamborghini Reventon Roadster 6.5L V12 - [2009],661,8000,487,3.3,6496,5,121.6,135,217,231.9,1999,1990s,Subaru,1.190168176,210.0543478
Lamborghini Reventon 6.5 V12 - [2007],641,8000,487,3.4,6496,5,121.6,135,217,231.9,1999,1990s,Subaru,1.190168176,210.0543478
Lamborghini Murcielago LP640 6.5 V12 - [2006],631,8000,487,3.5,6496,5,121.6,135,217,231.9,1999,1990s,Subaru,1.190168176,210.0543478
Lamborghini Veneno 6.5 V12 - [2013],740,8400,509,2.8,6498,5,159.6,160,257,219,2002,2000s,Mazda,1.260273973,184.0869565
Lamborghini Veneno Roadster 6.5 V12 - [2013],740,8400,509,2.9,6498,5,121.8,147,236,202.9,1998,1990s,Mitsubishi,1.360275998,202.1648551
Lamborghini Aventador LP720-4 50th Anniversario - [2013],710,8250,509,3,6498,5,121.8,147,236,219,1996,1990s,Mitsubishi,1.260273973,206.3043478
Lamborghini Aventador LP700-4 - [2011],690,8250,509,2.9,6498,5,121.9,150,241,490.9,2012,2010s,Ariel,0.550010185,341.8118519
Lamborghini Aventador LP700-4 Roadster - [2013],690,8250,509,3,6498,5,121.8,147,236,211.1,1995,1990s,Mitsubishi,1.260066319,180.9428571
Rolls-Royce Wraith 6.6L V12 - [2013],623,5600,590,4.4,6592,5,121.9,150,241,519.7,2009,2000s,Caterham,0.506061189,349.760076
Rolls-Royce Ghost 6.6L V12 - [2009],563,5250,575,4.7,6592,5,137.9,155,249,452.1,2005,2000s,Caterham,0.575094006,347.7692308
Mercedes CLK GTR 6.9 V12 - [1998],612,6800,568,3.7,6898,5,121.6,135,217,218.8,1994,1990s,Subaru,1.170018282,194.86875
Monteverdi Hai 450 GTS - [1973],390,5000,432,4.5,6974,5,91.5,147,236,541.9,2001,2000s,Radical,0.465030448,339.7626984
Monteverdi Hai 450 SS - [1970],390,5000,432,4.5,6974,5,109.5,156,251,338.2,2007,2000s,Lotus,0.74512123,238.8873016
Saleen S7 7.0 V8 - [2000],550,5900,525,3.3,6998,5,121.9,148,238,454.5,2004,2000s,Westfield,0.550055006,349.056
AC Cobra 427 - [1966],410,6000,482,4.2,7000,5,210,162,260,289.3,1954,1950s,Jaguar,0.864154857,280.0424
Chevrolet Corvette Z06 - [2006],505,6300,470,3.7,7011,5,121.9,146,234,463.8,1992,1990s,Caterham,0.539025442,345.0672
Pagani Zonda Cinque 7.3L - [2008],678,6400,575,3.3,7291,5,121.6,135,217,200.8,1994,1990s,Subaru,1.230079681,185.3538462
Pagani Zonda F - [2005],594,6150,575,3.6,7291,5,121.6,135,217,192.9,1994,1990s,Subaru,1.280456195,178.0615385
Pagani Zonda Roadster - [2003],555,5900,553,3.8,7291,5,109.5,155,249,261.2,2005,2000s,Lotus,0.930321593,187.0320988
Pagani Zonda C12 S 7.3 - [2002],547,5900,553,3.7,7291,5,106.3,155,249,268.1,2013,2010s,Alfa-Romeo,0.895188363,288.2075
Aston-Martin One77 7.3L V12 - [2011],750,7800,553,3.6,7312,5,121.9,140,225,451.4,2013,2010s,Caterham,0.52503323,289.5054852
Iso Grifo Can-Am 7.4 V8 - [1970],390,4800,500,4.7,7443,5,109.5,145,233,511.1,2000,2000s,Caterham,0.450009783,344.4369565
TVR Speed 12 7.7L V12 - [1997],800,8250,650,2.9,7730,5,91.4,155,249,153,2013,2010s,BMW,1.490196078,158.3684211
TVR Cerbera Speed 12 - [2000],880,7250,650,2.8,7731,5,109.5,148,238,233.1,2006,2000s,Lotus,0.935220935,170.0133028
Dodge Viper GTS - [1996],450,5200,490,4,7986,5,109.5,148,238,240.3,2007,2000s,Lotus,0.903037869,172.7502304
Bugatti Veyron 16.4 Grand Sport Vitesse - [2012],1184,6400,1106,2.5,7993,5,121.9,140,225,400,2006,2000s,Caterham,0.525,289.5238095
Bugatti Veyron 8.0 litre W16 - [2005],1001,6000,922,2.7,7993,5,109.5,140,225,408.1,2003,2000s,Caterham,0.490075962,316.2775
Dodge Viper SRT/10 8.0L V10 - [1992],400,4600,450,4.6,7997,5,109.5,126,202,288.7,2000,2000s,Lotus,0.658122619,221.8431579
Dodge Viper SRT-10 8.3 V10 - [2005],500,5600,525,4,8285,5,109.5,135,217,267.6,2003,2000s,Lotus,0.710014948,180.2778947
Dodge Viper SRT-10 8.3 V10 - [2003],500,5600,525,4,8285,5,109.5,130,209,320,2003,2000s,Caterham,0.5,260
Dodge Viper SRT10 ACR - [2007],600,6100,560,3.8,8382,5,120.5,115,185,219,2011,2010s,Morgan,0.525114155,196.1478261
